クラスター,クラスター名,分析項目,件数
0,上昇型_低価格帯_直線性高,2101うどん（外食）,66
0,上昇型_低価格帯_直線性高,2133カレーライス（外食）,65
0,上昇型_低価格帯_直線性高,2102中華そば（外食）,62
0,上昇型_低価格帯_直線性高,2026発泡酒,49
0,上昇型_低価格帯_直線性高,2103日本そば（外食）,38
0,上昇型_低価格帯_直線性高,2132天丼（外食）,34
0,上昇型_低価格帯_直線性高,2042ワイン,33
0,上昇型_低価格帯_直線性高,2112スパゲッティ（外食）,32
0,上昇型_低価格帯_直線性高,2021ビール,29
0,上昇型_低価格帯_直線性高,2123_すし,29
0,上昇型_低価格帯_直線性高,2134ぎょうざ（外食）,27
0,上昇型_低価格帯_直線性高,2027ビール風アルコール飲料,21
0,上昇型_低価格帯_直線性高,2041ワイン,13
0,上昇型_低価格帯_直線性高,2121_すし,12
1,横ばい・緩やか変動型_低価格帯_変動あり,2027ビール風アルコール飲料,60
1,横ばい・緩やか変動型_低価格帯_変動あり,2021ビール,51
1,横ばい・緩やか変動型_低価格帯_変動あり,2041ワイン,34
1,横ばい・緩やか変動型_低価格帯_変動あり,2026発泡酒,32
1,横ばい・緩やか変動型_低価格帯_変動あり,2134ぎょうざ（外食）,20
1,横ばい・緩やか変動型_低価格帯_変動あり,2102中華そば（外食）,19
1,横ばい・緩やか変動型_低価格帯_変動あり,2123_すし,18
1,横ばい・緩やか変動型_低価格帯_変動あり,2133カレーライス（外食）,16
1,横ばい・緩やか変動型_低価格帯_変動あり,2042ワイン,14
1,横ばい・緩やか変動型_低価格帯_変動あり,2101うどん（外食）,14
1,横ばい・緩やか変動型_低価格帯_変動あり,2112スパゲッティ（外食）,13
1,横ばい・緩やか変動型_低価格帯_変動あり,2103日本そば（外食）,9
1,横ばい・緩やか変動型_低価格帯_変動あり,2121_すし,9
1,横ばい・緩やか変動型_低価格帯_変動あり,2132天丼（外食）,8
2,価格低下型_高価格帯_変動あり,2033ウイスキー,81
2,価格低下型_高価格帯_変動あり,2121_すし,21
2,価格低下型_高価格帯_変動あり,2132天丼（外食）,5
2,価格低下型_高価格帯_変動あり,2112スパゲッティ（外食）,2
2,価格低下型_高価格帯_変動あり,2021ビール,1
2,価格低下型_高価格帯_変動あり,2101うどん（外食）,1
3,急上昇型_高価格帯_直線性高,2121_すし,5
