分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数,クラスター,クラスター名,主成分1,主成分2
2021ビール,さいたま市,12.0,1092.0,1141.0,49.0,6.98,76.77,0.62,0,上昇型_低価格帯_直線性高,0.3151655867100822,0.6053305313472074
2021ビール,京都市,12.0,1120.0,1169.0,49.0,6.59,72.5,0.38,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.22912197652428318,0.07407082200097824
2021ビール,今治市,12.0,1102.0,1145.0,43.0,6.08,66.92,0.43,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.16336119032541818,0.16019365275059044
2021ビール,仙台市,12.0,1100.0,1141.0,41.0,3.89,42.77,0.34,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.5725545558494243,-0.06892808504792426
2021ビール,伊丹市,12.0,1127.0,1234.0,107.0,7.2,79.15,0.61,0,上昇型_低価格帯_直線性高,0.2718827167214846,0.6469033567552628
2021ビール,佐世保市,12.0,1168.0,1239.0,71.0,7.44,81.81,0.69,0,上昇型_低価格帯_直線性高,0.396408299063737,0.917983154730984
2021ビール,佐賀市,12.0,1149.0,1211.0,62.0,6.12,67.27,0.64,0,上昇型_低価格帯_直線性高,0.18231896590408947,0.7570784401584365
2021ビール,八戸市,12.0,1164.0,1208.0,44.0,6.3,69.31,0.72,0,上昇型_低価格帯_直線性高,0.3358928782502641,0.9795951085081309
2021ビール,八王子市,12.0,1152.0,1211.0,59.0,5.27,57.96,0.19,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.7834079737762482,-0.3315049372142548
2021ビール,函館市,12.0,1098.0,1153.0,55.0,5.52,60.77,0.66,0,上昇型_低価格帯_直線性高,0.22549586446259548,0.7087584013401536
2021ビール,前橋市,12.0,1175.0,1131.0,-44.0,-5.62,-61.85,0.3,2,価格低下型_高価格帯_変動あり,-1.7863108813126332,-0.057341128563425894
2021ビール,北九州市,12.0,1121.0,1179.0,58.0,5.39,59.31,0.4,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.32231682418196206,0.1205358807961248
2021ビール,千葉市,12.0,1136.0,1182.0,46.0,2.83,31.15,0.1,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.2006264366025874,-0.5874839037256417
2021ビール,名古屋市,12.0,1092.0,1121.0,29.0,2.93,32.19,0.08,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.1681891448327073,-0.7175190222995699
2021ビール,和歌山市,12.0,1201.0,1190.0,-11.0,6.02,66.23,0.14,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.8654889441682228,-0.3591778031545672
2021ビール,堺市,12.0,1178.0,1195.0,17.0,1.87,20.54,0.11,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.343138597188159,-0.4882191335263597
2021ビール,大分市,12.0,1131.0,1178.0,47.0,4.64,51.0,0.4,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.41753462379819545,0.13670026030312507
2021ビール,大津市,12.0,1097.0,1141.0,44.0,5.56,61.12,0.58,0,上昇型_低価格帯_直線性高,0.0766855874934062,0.5130014133017214
2021ビール,大阪市,12.0,1224.0,1198.0,-26.0,-0.76,-8.35,0.02,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.8658367447334787,-0.6294767513884222
2021ビール,奈良市,12.0,1123.0,1128.0,5.0,3.02,33.23,0.17,1,横ばい・緩やか変動型_低価格帯_変動あり,-1.0269737433824089,-0.44127671292673076
2021ビール,姫路市,12.0,1127.0,1157.0,30.0,4.07,44.73,0.29,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.6865045495614027,-0.139381167622729
2021ビール,宇部市,12.0,1138.0,1193.0,55.0,4.57,50.31,0.45,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.3381421914005959,0.27076152481109256
2021ビール,宇都宮市,12.0,1119.0,1156.0,37.0,3.45,37.92,0.31,1,横ばい・緩やか変動型_低価格帯_変動あり,-0.7043313403280722,-0.1077729536556456
2021ビール,宮崎市,12.0,1164.0,1248.0,84.0,7.93,87.23,0.57,0,上昇型_低価格帯_直線性高,0.22336081741057062,0.6210950940429285
