分析項目,都市,データ数,1月価格_円,12月価格_円,1月から12月の変化額_円,1か月あたりの変化額_円,年間換算の変化額_円,決定係数
2021ビール,さいたま市,12.0,1092.0,1141.0,49.0,6.98,76.77,0.62
2021ビール,京都市,12.0,1120.0,1169.0,49.0,6.59,72.5,0.38
2021ビール,今治市,12.0,1102.0,1145.0,43.0,6.08,66.92,0.43
2021ビール,仙台市,12.0,1100.0,1141.0,41.0,3.89,42.77,0.34
2021ビール,伊丹市,12.0,1127.0,1234.0,107.0,7.2,79.15,0.61
2021ビール,佐世保市,12.0,1168.0,1239.0,71.0,7.44,81.81,0.69
2021ビール,佐賀市,12.0,1149.0,1211.0,62.0,6.12,67.27,0.64
2021ビール,八戸市,12.0,1164.0,1208.0,44.0,6.3,69.31,0.72
2021ビール,八王子市,12.0,1152.0,1211.0,59.0,5.27,57.96,0.19
2021ビール,函館市,12.0,1098.0,1153.0,55.0,5.52,60.77,0.66
2021ビール,前橋市,12.0,1175.0,1131.0,-44.0,-5.62,-61.85,0.3
2021ビール,北九州市,12.0,1121.0,1179.0,58.0,5.39,59.31,0.4
2021ビール,千葉市,12.0,1136.0,1182.0,46.0,2.83,31.15,0.1
2021ビール,名古屋市,12.0,1092.0,1121.0,29.0,2.93,32.19,0.08
2021ビール,和歌山市,12.0,1201.0,1190.0,-11.0,6.02,66.23,0.14
2021ビール,堺市,12.0,1178.0,1195.0,17.0,1.87,20.54,0.11
2021ビール,大分市,12.0,1131.0,1178.0,47.0,4.64,51.0,0.4
2021ビール,大津市,12.0,1097.0,1141.0,44.0,5.56,61.12,0.58
2021ビール,大阪市,12.0,1224.0,1198.0,-26.0,-0.76,-8.35,0.02
2021ビール,奈良市,12.0,1123.0,1128.0,5.0,3.02,33.23,0.17
2021ビール,姫路市,12.0,1127.0,1157.0,30.0,4.07,44.73,0.29
2021ビール,宇部市,12.0,1138.0,1193.0,55.0,4.57,50.31,0.45
2021ビール,宇都宮市,12.0,1119.0,1156.0,37.0,3.45,37.92,0.31
2021ビール,宮崎市,12.0,1164.0,1248.0,84.0,7.93,87.23,0.57
2021ビール,富士市,12.0,1087.0,1136.0,49.0,5.53,60.88,0.63
2021ビール,富山市,12.0,1120.0,1168.0,48.0,4.54,49.96,0.13
2021ビール,小山市,12.0,1126.0,1163.0,37.0,3.96,43.58,0.55
2021ビール,山口市,12.0,1197.0,1244.0,47.0,5.36,58.92,0.65
2021ビール,山形市,12.0,1123.0,1156.0,33.0,4.06,44.65,0.43
2021ビール,岐阜市,12.0,1119.0,1140.0,21.0,2.49,27.42,0.11
2021ビール,岡山市,12.0,1138.0,1218.0,80.0,7.29,80.15,0.55
2021ビール,川口市,12.0,1164.0,1119.0,-45.0,0.98,10.77,0.01
2021ビール,川崎市,12.0,1114.0,1144.0,30.0,3.99,43.85,0.32
2021ビール,広島市,12.0,1156.0,1180.0,24.0,5.37,59.04,0.44
2021ビール,府中市,12.0,1090.0,1130.0,40.0,5.15,56.69,0.29
2021ビール,徳島市,12.0,1216.0,1291.0,75.0,8.66,95.31,0.75
2021ビール,所沢市,12.0,1090.0,1138.0,48.0,5.66,62.27,0.39
2021ビール,新潟市,12.0,1097.0,1145.0,48.0,4.28,47.12,0.37
2021ビール,日立市,12.0,1160.0,1222.0,62.0,4.13,45.38,0.4
2021ビール,旭川市,12.0,1123.0,1180.0,57.0,5.65,62.19,0.49
2021ビール,札幌市,12.0,1130.0,1180.0,50.0,5.69,62.62,0.68
2021ビール,東京都区部,12.0,1145.0,1188.0,43.0,4.74,52.15,0.32
2021ビール,東大阪市,12.0,1178.0,1215.0,37.0,1.86,20.5,0.07
2021ビール,松山市,12.0,1090.0,1156.0,66.0,4.37,48.08,0.21
2021ビール,松本市,12.0,1081.0,1165.0,84.0,7.2,79.19,0.51
2021ビール,松江市,12.0,1132.0,1195.0,63.0,5.18,57.0,0.4
2021ビール,松阪市,12.0,1097.0,1145.0,48.0,3.2,35.15,0.09
2021ビール,枚方市,12.0,1153.0,1138.0,-15.0,1.72,18.96,0.06
2021ビール,柏市,12.0,1126.0,1123.0,-3.0,2.71,29.85,0.11
2021ビール,横浜市,12.0,1103.0,1176.0,73.0,7.4,81.35,0.54
2021ビール,水戸市,12.0,1119.0,1137.0,18.0,2.08,22.92,0.27
2021ビール,津市,12.0,1115.0,1200.0,85.0,7.2,79.19,0.7
2021ビール,浜松市,12.0,1105.0,1126.0,21.0,1.94,21.31,0.06
2021ビール,浦安市,12.0,1098.0,1138.0,40.0,5.17,56.92,0.54
2021ビール,熊本市,12.0,1175.0,1208.0,33.0,1.71,18.85,0.08
2021ビール,熊谷市,12.0,1066.0,1121.0,55.0,7.65,84.19,0.42
2021ビール,甲府市,12.0,1135.0,1201.0,66.0,6.07,66.73,0.53
2021ビール,盛岡市,12.0,1116.0,1174.0,58.0,6.61,72.69,0.54
2021ビール,相模原市,12.0,1119.0,1141.0,22.0,2.66,29.23,0.12
2021ビール,神戸市,12.0,1185.0,1222.0,37.0,1.41,15.5,0.04
2021ビール,福井市,12.0,1098.0,1161.0,63.0,6.37,70.04,0.27
2021ビール,福山市,12.0,1150.0,1187.0,37.0,2.78,30.62,0.09
2021ビール,福岡市,12.0,1109.0,1183.0,74.0,8.46,93.08,0.59
2021ビール,福島市,12.0,1097.0,1137.0,40.0,5.73,63.08,0.39
2021ビール,秋田市,12.0,1119.0,1171.0,52.0,5.43,59.73,0.49
2021ビール,立川市,12.0,1152.0,1164.0,12.0,1.64,18.0,0.04
2021ビール,藤沢市,12.0,1116.0,1149.0,33.0,0.87,9.54,0.01
2021ビール,西宮市,12.0,1159.0,1255.0,96.0,5.62,61.85,0.51
